Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Haboom_Suite1,Chrome 121.0.0.0,,,23-02-2024 14:09:17,23-02-2024 14:09:55,37.406s,FAILED
,,,,,,,
Test Cases/Casino/Open_Games,Chrome 121.0.0.0,,,23-02-2024 14:09:17,23-02-2024 14:09:55,37.258s,FAILED
Start setup action : setupTestCase,Chrome 121.0.0.0,,,23-02-2024 14:09:17,23-02-2024 14:09:30,12.150s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,23-02-2024 14:09:30,23-02-2024 14:09:30,0.779s,PASSED
"navigateToUrl(""https://haboom.com/"")",Chrome 121.0.0.0,,,23-02-2024 14:09:30,23-02-2024 14:09:34,3.997s,PASSED
maximizeWindow(),Chrome 121.0.0.0,,,23-02-2024 14:09:34,23-02-2024 14:09:35,0.226s,PASSED
"setText(findTestObject(""Object Repository/Login/Page_Haboom - Trusted Online Casino and Spo_832508/input_Help_username""), ""MartinGarrix"")",Chrome 121.0.0.0,,,23-02-2024 14:09:35,23-02-2024 14:09:37,2.365s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Login/Page_Haboom - Trusted Online Casino and Spo_832508/input_Help_password""), ""cvW8qx4B2o1WegCEDy41Xg=="")",Chrome 121.0.0.0,,,23-02-2024 14:09:37,23-02-2024 14:09:38,0.483s,PASSED
"click(findTestObject(""Object Repository/Casino/Page_Haboom - Trusted Online Casino and Spo_832508/input_Help_submitLogForm""))",Chrome 121.0.0.0,,,23-02-2024 14:09:38,23-02-2024 14:09:39,1.544s,PASSED
"click(findTestObject(""Object Repository/Casino/Page_Haboom - Trusted Online Casino and Spo_832508 (1)/a_Casino""))",Chrome 121.0.0.0,,,23-02-2024 14:09:39,23-02-2024 14:09:43,3.816s,PASSED
"provider = getWebDriver().findElements(By.xpath(""//input[@name='provider_list']""))",Chrome 121.0.0.0,,,23-02-2024 14:09:43,23-02-2024 14:09:44,0.874s,PASSED
println(provider.size()),Chrome 121.0.0.0,,,23-02-2024 14:09:44,23-02-2024 14:09:44,0.001s,PASSED
"for ([i = 0, i < provider.size(), (i++)])",Chrome 121.0.0.0,,,23-02-2024 14:09:44,23-02-2024 14:09:55,10.787s,FAILED
Start tear down : tearDownTestCase,Chrome 121.0.0.0,,,23-02-2024 14:09:55,23-02-2024 14:09:55,0.082s,PASSED
